Net Status Report
Filename     : E:\MarsCloud\Doc\program\Embedded\stm32\Project\蓝牙机械键盘\PCB\创世一号\创世一号.PcbDoc
Date         : 2019/12/14
Time         : 17:37:44
Time Elapsed : 00:00:00

Nets, Layer, Length
    3V3, Signal Layers Only, 616.6114mm
    3V7, Signal Layers Only, 237.2801mm
    5V, Signal Layers Only, 59.6242mm
    AT, Signal Layers Only, 176.1879mm
    BOOT0, Signal Layers Only, 50.3134mm
    BOOT1, Signal Layers Only, 38.8499mm
    COM0, Signal Layers Only, 387.7089mm
    COM1, Signal Layers Only, 357.0328mm
    COM2, Signal Layers Only, 382.7574mm
    COM3, Signal Layers Only, 444.9825mm
    COM4, Signal Layers Only, 499.6897mm
    COM5, Signal Layers Only, 460.0872mm
    GND, Signal Layers Only, 69.4068mm
    I2C1_SCL, Signal Layers Only, 324.7863mm
    I2C1_SDA, Signal Layers Only, 321.7052mm
    LED, Signal Layers Only, 105.3877mm
    LED3V3, Signal Layers Only, 111.5226mm
    LRow0, Signal Layers Only, 152.9832mm
    LRow1, Signal Layers Only, 169.4153mm
    LRow10, Signal Layers Only, 448.8926mm
    LRow11, Signal Layers Only, 360.8003mm
    LRow12, Signal Layers Only, 441.9004mm
    LRow13, Signal Layers Only, 348.015mm
    LRow14, Signal Layers Only, 361.0771mm
    LRow15, Signal Layers Only, 422.0857mm
    LRow2, Signal Layers Only, 170.9635mm
    LRow3, Signal Layers Only, 228.2741mm
    LRow4, Signal Layers Only, 297.5738mm
    LRow5, Signal Layers Only, 334.9343mm
    LRow6, Signal Layers Only, 371.4642mm
    LRow7, Signal Layers Only, 390.3777mm
    LRow8, Signal Layers Only, 410.9354mm
    LRow9, Signal Layers Only, 449.6861mm
    NRST, Signal Layers Only, 63.9312mm
    NetBOOT_3, Signal Layers Only, 5.5933mm
    NetBOOT_4, Signal Layers Only, 7.2007mm
    NetBTK-05_25, Signal Layers Only, 288.9348mm
    NetBTK-05_31, Signal Layers Only, 294.7187mm
    NetC10_1, Signal Layers Only, 6.7344mm
    NetC14_1, Signal Layers Only, 7.8527mm
    NetCAPS_LED_1, Signal Layers Only, 3.0832mm
    NetD10_1, Signal Layers Only, 5.1169mm
    NetD11_1, Signal Layers Only, 5.0011mm
    NetD12_1, Signal Layers Only, 4.7577mm
    NetD13_1, Signal Layers Only, 4.7577mm
    NetD14_1, Signal Layers Only, 4.7577mm
    NetD15_1, Signal Layers Only, 4.7577mm
    NetD16_1, Signal Layers Only, 4.7103mm
    NetD17_1, Signal Layers Only, 4.4452mm
    NetD18_1, Signal Layers Only, 4.9373mm
    NetD19_1, Signal Layers Only, 4.9479mm
    NetD20_1, Signal Layers Only, 5.0855mm
    NetD21_1, Signal Layers Only, 4.9691mm
    NetD22_1, Signal Layers Only, 4.9797mm
    NetD23_1, Signal Layers Only, 4.9902mm
    NetD24_1, Signal Layers Only, 5.0008mm
    NetD25_1, Signal Layers Only, 5.064mm
    NetD26_1, Signal Layers Only, 5.022mm
    NetD27_1, Signal Layers Only, 5.0326mm
    NetD28_1, Signal Layers Only, 5.0432mm
    NetD29_1, Signal Layers Only, 5.0537mm
    NetD2_1, Signal Layers Only, 5.5193mm
